Time (years),Observed Velocity (cm/s)
0,6.608005866
0.0010001,6.026303242
0.0020002,5.56792411
0.0030003,5.034716083
0.0040004,4.612539108
0.0050005,5.885167465
0.0060006,5.492375775
0.0070007,5.304514922
0.0080008,5.663134733
0.0090009,2.042713728
0.010001,4.096017828
0.0110011,3.021159577
0.0120012,4.271530727
0.0130013,3.513688586
0.0140014,3.31993104
0.0150015,3.670508494
0.0160016,2.238316008
0.0170017,2.658246876
0.0180018,2.458807093
0.0190019,1.709638519
0.020002,3.901381016
0.0210021,3.492006075
0.0220022,1.770505959
0.0230023,0.696608037
0.0240024,1.959108354
0.0250025,2.483642932
0.0260026,2.476686525
0.0270027,2.540310725
0.0280028,0.192753925
0.0290029,1.070388708
0.030003,1.248876131
0.0310031,-0.741213304
0.0320032,1.532303467
0.0330033,-0.96247243
0.0340034,-1.712791882
0.0350035,-2.31466964
0.0360036,-1.353272271
0.0370037,-0.841158682
0.0380038,-2.17653433
0.0390039,-1.797881707
0.040004,-1.572318307
0.0410041,-3.015523308
0.0420042,-1.657211542
0.0430043,-2.854788884
0.0440044,-2.928563995
0.0450045,-3.973358144
0.0460046,-2.8866674
0.0470047,-2.587989285
0.0480048,-3.723087095
0.0490049,-2.173336007
0.050005001,-3.941102371
0.051005101,-2.738012791
0.052005201,-3.37370354
0.053005301,-3.074601657
0.054005401,-4.930764836
0.055005501,-4.316800228
0.056005601,-4.052690383
0.057005701,-4.722458839
0.058005801,-3.121193164
0.059005901,-6.152744172
0.060006001,-3.450791487
0.061006101,-3.883879968
0.062006201,-6.762834389
0.063006301,-6.872424013
0.064006401,-5.770511851
0.065006501,-3.78929593
0.066006601,-6.33967729
0.067006701,-6.249904495
0.068006801,-4.775535833
0.069006901,-5.046558551
0.070007001,-7.699891136
0.071007101,-6.394445811
0.072007201,-8.103954872
0.073007301,-6.106876993
0.074007401,-7.789638063
0.075007501,-6.95029995
0.076007601,-6.015830029
0.077007701,-6.744609651
0.078007801,-5.024512429
0.079007901,-6.645414559
0.080008001,-8.179042166
0.081008101,-8.576800616
0.082008201,-5.341936901
0.083008301,-8.029751166
0.084008401,-6.2473105
0.085008501,-7.366430031
0.086008601,-7.045091974
0.087008701,-5.614906377
0.088008801,-6.069141551
0.089008901,-6.271854755
0.090009001,-6.547691179
0.091009101,-5.384717213
0.092009201,-5.339969833
0.093009301,-6.499689624
0.094009401,-7.832262426
0.095009501,-4.152460576
0.096009601,-6.30911733
0.097009701,-6.362564939
0.098009801,-7.066611022
0.099009901,-7.644246859
0.100010001,-6.301818134
0.101010101,-8.538595065
0.102010201,-4.295847998
0.103010301,-6.596470464
0.104010401,-5.322464043
0.105010501,-8.560033132
0.106010601,-6.591078653
0.107010701,-3.826280235
0.108010801,-5.616523029
0.109010901,-6.091174467
0.110011001,-5.404358649
0.111011101,-4.680512271
0.112011201,-5.610542706
0.113011301,-4.538537668
0.114011401,-4.296991274
0.115011501,-2.801398461
0.116011601,-4.901631918
0.117011701,-5.319134027
0.118011801,-4.515220627
0.119011901,-2.589358355
0.120012001,-4.399925618
0.121012101,-2.044105607
0.122012201,-3.400968848
0.123012301,-2.783092429
0.124012401,-2.617995849
0.125012501,-2.506081555
0.126012601,-2.573248295
0.127012701,-2.216440833
0.128012801,-1.943665248
0.129012901,-0.380695781
0.130013001,-2.926230519
0.131013101,-2.576787626
0.132013201,-2.24597844
0.133013301,-0.798383686
0.134013401,-0.01033434
0.135013501,-0.206648518
0.136013601,0.132653806
0.137013701,-0.489154212
0.138013801,0.576522418
0.139013901,2.488920598
0.140014001,1.634464704
0.141014101,0.460949086
0.142014201,-0.888857877
0.143014301,1.237937055
0.144014401,1.636575786
0.145014501,0.719777023
0.146014601,-0.052592395
0.147014701,1.236775837
0.148014801,3.254785314
0.149014901,0.887020231
0.150015002,1.475073739
0.151015102,3.080189808
0.152015202,2.258186953
0.153015302,4.630030515
0.154015402,3.742731058
0.155015502,2.085251494
0.156015602,4.823930186
0.157015702,3.059033579
0.158015802,3.581940478
0.159015902,4.2134378
0.160016002,4.042756916
0.161016102,3.854705131
0.162016202,3.645440467
0.163016302,4.289211065
0.164016402,5.161875943
0.165016502,5.042010227
0.166016602,5.025761187
0.167016702,4.457456919
0.168016802,4.729265655
0.169016902,5.504615418
0.170017002,5.861616604
0.171017102,4.926875568
0.172017202,4.323890953
0.173017302,4.819615322
0.174017402,5.719616213
0.175017502,5.010292754
0.176017602,6.044581269
0.177017702,5.807647981
0.178017802,6.217382068
0.179017902,5.054903453
0.180018002,5.072037686
0.181018102,7.81528777
0.182018202,5.380401601
0.183018302,4.265795836
0.184018402,6.161064729
0.185018502,7.327819407
0.186018602,4.86198359
0.187018702,7.176691414
0.188018802,6.083513926
0.189018902,3.819494602
0.190019002,6.661400577
0.191019102,5.901525215
0.192019202,5.15227497
0.193019302,5.947709406
0.194019402,5.637065595
0.195019502,7.190315936
0.196019602,3.156976157
